Class/Property,Cardinality,Range,Note,Description
,,,Namespaces:,
,,,PREFIX dct: <http://purl.org/dc/terms/>,
,,,PREFIX ecrm: <http://erlangen-crm.org/current/>,
,,,PREFIX frbroo: <http://erlangen-crm.org/efrbroo/>,
,,,PREFIX mmms: <http://ldf.fi/schema/mmm/>,
,,,PREFIX gvp: <http://vocab.getty.edu/ontology#>,
,,,PREFIX wgs84: <http://www.w3.org/2003/01/geo/wgs84_pos#>,
,,,,
frbroo:F1_Work,,,,This class comprises the sums of concepts which appear in the course of the coherent evolution of an original idea into one or more expressions that are dominated by the original idea.
dct:source,,mmms:Database,,
mmms:data_provider_url,,URL,Link to resource in data provider system,
skos:altLabel,,string,,
skos:prefLabel,,string,,
,,,,
frbroo:F27_Work_Conception,,,,This class comprises the births of original ideas. It marks the initiation of the creation of a work.
ecrm:P4_has_time-span ,,ecrm:E52_Time-Span,,
ecrm:P7_took_place_at,,ecrm:E53_Place,,
dct:source,,mmms:Database,,
skos:prefLabel,,string,,
frbroo:R16_initiated,,frbroo:F1_Work,,
mmms:carried_out_by_as_author,,ecrm:E21_Person / ecrm:E74_Group / ecrm:E39_Actor,,
mmms:carried_out_by_as_possible_author,,ecrm:E21_Person / ecrm:E74_Group / ecrm:E39_Actor,,
mmms:carried_out_by_as_commissioner,,ecrm:E21_Person / ecrm:E74_Group / ecrm:E39_Actor,,
mmms:carried_out_by_as_editor,,ecrm:E21_Person / ecrm:E74_Group / ecrm:E39_Actor,,
mmms:carried_out_by_as_translator,,ecrm:E21_Person / ecrm:E74_Group / ecrm:E39_Actor,,
mmms:carried_out_by_as_recipient,,ecrm:E21_Person / ecrm:E74_Group / ecrm:E39_Actor,,
,,,,
frbroo:F2_Expression / ecrm:E33_Linguistic_Object,,,,"This class comprises the intellectual or artistic realisations of works in the form of identifiable immaterial objects, such as texts, poems, jokes, musical or choreographic notations, movement pattern, sound pattern, images, multimedia objects, or any combination of such forms that have objectively recognisable structures. / This class comprises identifiable expressions in natural language or languages."
ecrm:P72_has_language,,string,range: use URI when values are harmonized,The language(s) in which the manuscript was written.
dct:source,,mmms:Database,,
mmms:data_provider_url,,URL,Link to resource in data provider system,
skos:altLabel,,string,,
skos:prefLabel,,string,,
,,,,
frbroo:F28_Expression_Creation,,,,This class comprises activities that result in instances of F2 Expression coming into existence. This class characterises the externalisation of an Individual Work.
ecrm:P7_took_place_at,1..1,ecrm:E53_Place,,
frbroo:R17_created,,frbroo:F2_Expression,,
frbroo:R19_created_a_realisation_of,,frbroo:F1_Work,,
mmms:carried_out_by_as_author,,ecrm:E21_Person / ecrm:E74_Group / ecrm:E39_Actor,,
mmms:carried_out_by_as_scribe,,ecrm:E21_Person / ecrm:E74_Group / ecrm:E39_Actor,,
dct:source,,mmms:Database,,
skos:prefLabel,,string,,
,,,,
ecrm:E12_Production,,,,"This class comprises activities that are designed to, and succeed in, creating one or more new items."
ecrm:P4_has_time-span,,ecrm:E52_Time-Span,,"The date when the manuscript was written. Multiple production dates may appear for a single manuscript, when there are discrepancies between the contributing data sources or when the precise date is uncertain, or when the production indeed took place in several places (e.g. for composite manuscripts)."
ecrm:P7_took_place_at,1..n,ecrm:E53_Place,Cardinality representing either AND or OR (both present),"The location where the manuscript was written. Multiple places of production may appear for a single manuscript, when there are discrepancies between the contributing data sources or when the precise location is uncertain, or when the production indeed took place in several places (e.g. for composite manuscripts or when a manuscript was written in one country and decorated in another country)."
