Code,OriginalMMMResearchQuestion,RevisedMMMquestion,Questionfunction,LinktoSPARQL,Bibale results – public interface ,Bibale interface – comments,Oxford results – public interface,Oxford interface – comments,SDBM results – public interface,SDBM interface – comments,MMM results - user interface,MMM interface - comments
A1,How many manuscripts from pre-1600 produced in European countries survive?,How many manifestation singletons have a production event in Europe before 1601?,data testing,manuscript count: http://yasgui.org/short/tp0EEwhus     manuscript details: http://yasgui.org/short/Lfcj5pRe0,"Currently impossible.
One cannot search by date span, and one cannot search by place either (not by country, let alone by continent).",,Can’t filter by “Europe” (only by a specific country). Each century has to be filtered separately – can’t aggregate “pre-1601”. Can show “how many MSS have a production event in England in the 14thcentury?”,"You would need to add up the numbers of MSS from each century manually to get a “pre-1601” total. You would also need to add up the numbers of MSS from each country manually to get a total for Europe. Or you could use the “Advanced Search” functionality, which enables you to select multiple places or multiple centuries (when I tried to select both, the interface crashed).","In advanced search, limit Manuscript Date to terminating at 1601. Then limit these results with Place facet. This search returns 90,185 Entries. Then open “Manuscript” facet to see all ms records associated with place.","It is possible to get to only MS records associated with place, but it is not easy to count the faceted list of results. We can only easily answer how many Entries, not MS Records.","In  ""Manuscripts"" perspective: (1) Filter by ""Production Place = Europe"" (produces 71,718); (2) Set ""Production Date"" timeslider to 1601. Result is 67,231.   (Toby)","In step (1), the figure shown next to ""Europe"" in the left-hand panel is 82,971 - why is this different?"
A2,[A2] How many manuscripts survive that contain Spanish texts written in gothic rotunda were produced in Castile for an abbey or convent? Then show me those which were owned during the nineteenth century by English private collectors; Then show me those which are now owned by an institution in North America.,"List all manifestation singletons containing an expression in X language and the associated works, refined by those produced in X place (ignore script query), commissioned by an Actor (which could be further refined by type of Actor, set of Actors, etc.); then limit this set by those owned by an Actor of X type (Person, Institution) associated with X place and having life events dated in X date range; limit by those with last known location in X places Question for Mikko: how do we construct a SPARQL query using last known location?",This is an advanced SPARQL query that we could return to later,"http://yasgui.org/short/rUUWrzaxb ; http://yasgui.org/short/uEk69jA4a → manuscripts produced in Castile et al; manuscripts with a known commissioner (produced anywhere, not just Castile; count is 169) ; http://yasgui.org/short/O-m0SfJvg → query to find all distinct places where Spanish manuscripts were created ; http://yasgui.org/short/dypoj57JO→ query to find manuscripts produced in Castile and limited # of cities associated with Castille in MMM; then find associated owners ; ??","Currently impossible. This is a complex question anyway.
",,Not possible. You can filter the list of manuscripts by language (Spanish) and then by place of origin (Spain - not region) - which results in 14 manuscripts. But you can then only examine the results individually to analyse their provenance and history.,You cannot filter a list of manuscripts by their script.,"Can browse language facet for Spanish, which gives 2027 results. These results can be narrowed down by items in the Place facet linked to ""Castile"" (9) and ""astilla et Leon (13). From there individual entries must be analyzed for data related to 19th century owners.",SDBM does not record script type,"In the ""Manuscripts"" perspective: (A) filter by language = Spanish. (B) Then filter by production place = Castile. (C) Then, as a proxy for filtering by script, filter by date of production, e.g. 1100-1450. This produces 34 results. (D) Then look through the list of owners to identify medieval Spanish abbeys/convents (3), 19th-century private English owners (5), and 20th-century North American institutions (2). (E) Repeat this process for manuscripts produced in places in Castilla-Leon or Castilla-La Mancha (since these are separate from Castile in the TGN hierarchy). (Toby)","(A) It is not possible to filter manuscripts by script. (B) It is not possible to filter manuscripts by type of owner (private / public / institutional / religious house etc.).  (C) An alternative approach would be to start from the ""Agents"" view, and filter for ""type of owner = group"" + active in Castile. You can then see the manuscripts and works associated with these institutions as owners. You would then need to look at each of these manuscripts individually to see their subsequent owners."
A3,[A3] What French collectors purchased manuscripts since the end of the Wars of Religion (after 1598)? Where are their manuscripts now?,List all manifestation singletons which have an associated provenance event located in a specific country or region X. Then limit the result set to those provenance events with a date later than Date A. Then list all the Last Known Locations of the manifestation singletons in the result set. ,similar to B5 question (which is partially answered); need advice on Last Known Location query; will be helpful for documentation,,Currently impossible. One can currently not run a query on transactions of a specific period (eg. after a specififc year).,"One general problem (in Bibale, in the UI and elsewhere) remains that it is difficult to define a ""French collector"", since it can involve birthplace, but also any other place of activity. We have discussed this at seevral occasions.","You can filter the list of ""People"" by role (e.g., ""Owner, signer, or donor"". But you cannot further filter this list by country - whether this is place of birth, place of death, or place of residence.","The interface does not display any information about individual people (dates or places or birth and death, etc.).","This question can't easily be answered. You can search for SDBM Names that are linked to France and have life dates after 1598, but then you'd have to run separate queries to find people linked to places nested within France (there's currently no way to search for France and all of its children within the same query). Once you found all of these names, you could then view the entries linked to them and determine last known locations, but this would be very time consuming.","SDBM could be improved by allowing for nested place searching (the data is in there, it just isn't possible in the UI)","In the ""Actors"" perspective: (A) Limit the type of actor to E21: Person. Then (B) filter by Activity Location = France. This gives 1,698 results. Then (C) filter the ""Birth"" timeline to births after 1550. This gives 572 results. Then (D) look at the individual manuscripts associated with each person to see their subsequent history.  (Toby)","You need to sort the resulting list by ""Role"" to distinguish manuscript/collection owners from authors of works. At step (C) you could also filter the ""Death"" timeline for deaths after 1600. This produces 475 results. If you combine the births and deaths timeline limits, the result is 475 people. There is no obvious way of filtering the list of manuscripts associated with these people."
B1,[B1] How many manuscripts containing texts by Ramon Llul were sold in the 19th century? (Must consider all spelling variations of name: RESOLVED BY RECON),[B1] How many manuscripts containing texts by Ramon Llul were sold in the 19th century? (Must consider all spelling variations of name: RESOLVED BY RECON),SPARQL query,,"One can run a query on ""Lullus"" and filter the word only in the field ""Contenu indicatif (auteur, titre)"". Then one can look (by simply opening the files) if one of these was sold in the 19th century. For the moment this is not so complicated, since there is only one manuscript with the word ""Lull"" in the field ""Contenu indicatif (auteur, titre)"". Then one can also run the query ""lullus"" and open the three Works in the result list to see if any of them appears in a manuscript. This, however, is not the case for the moment.",,You can browse or search to find all manuscripts with Ramon Llull as an author. But their provenance/history can only be analysed by looking at each manuscript individually.,"The preferred form of the name is Llull - but for pseudonymous works the form ""Lull"" is used!? The search is robust enough to find them all whichever variant spelling is used. But searching by ""LLul"" produces no results.","Not easily answered. You can search for entries that list Llull as an author with provenance dates in the 19th century, but few entries list specific provenance dates (7 entries result from the above search). A better way would be to search for source dates in the 19th century, but in the current SDBM interface it isn't possible to combine an author facet with a range of source dates within the same search. ","SDBM could be improved by allowing for nested place searching (the data is in there, it just isn't possible in the UI)","In the ""Manuscripts"" perspective: (A) search for Author ""Llul"" - this finds ""Ramon Llull, with 343 results. (B) Filter for Transfer of Custody date = 1800-1900, with four results. (Toby)","The ""Transfer of Custody"" results are understated, given that many provenance events are only categorized as ""Activity"". But you can't tackle this question from the ""Events"" view, since that only lists manuscripts, not authors or works. "
B3,[B3] Who collects manuscripts with texts by Ramon Llul?,List all manifestation singletons which contain a work with a specific Person X as author. Then show all Actors associated with a provenance event related to these manifestations singletons. (Could also limit the result set by the dates of the provenance events?),build off query of previous question; include provenance people,,"One can run such a query in several steps (see B1), but for the moment there are no results in the data.",,You can browse or search to find all manuscripts with Ramon Llull as an author. But their provenance/history can only be analysed by looking at each manuscript individually.,,"You can quickly find all entries with texts by Ramon Llull using a basic search. From those results, you can browse the Provenance facet to see a list of all associated provenance agents. However, this information isn't easily exported.  ",,"In the ""Manuscripts"" perspective: (A) search for Author ""Llul"" - this finds ""Ramon Llull, with 343 results. (B) Look through the list of Owners to see which owners have been associated with these manuscripts. (Toby)","There isn't a way to filter on current or past owners, or to sort the owners by date. But you could sort the results lists on either the ""Event"" or ""Transfer of Custody Date"" column to get some indication of recent or current ownership."
B4,[B4] How many times do texts by Ramon Llul’s appear with texts by Albertus Magnus in the same manuscript?,List / count all manifestation singletons which contain a work with a specific Person X as author. Then limit the result set to those manifestation singletons which also contain a work with a specific Person Y as author.,continue building from previous query,,"One can run such a query in several steps (see B1), but for the moment there are no results in the data.",,"It is possible to do a keyword search of the Manuscript records for a combination of the two names, e.g. ""Albertus AND Lull"" or ""Albertus OR Lull"". Using ""Llull"" in this search produces no results, however, even though that is the preferred form in the Author record - because the search is on the text of the Manuscript entry and that uses ""Lull"", not on the Authors file which uses ""Llull"".",You cannot combine two authors from the Authors list in order to identify manuscripts in which both authors occur.,There are 16 entries that contain texts by both Llull and Albertus Magnus in the SDBM.,,"In the ""Manuscripts"" perspective: (A) search for Author = ""Llul"" - this finds ""Ramon Llull"", with 343 results. (B) Look through the list of manuscripts to see which of them also contain Albertus as an author. (Toby)","If you select two or more authors in the ""Author"" filter, the results are combined as an OR operation (not as AND). It is not possible to search the Llull result set to find those containing ""Albertus"". Sorting the Llull result set by Author is of limited help, since a manuscript may contain authors other than Llull or Albertus, and only the first author is displayed in the summary list of results."
B5,What was the most popular text by a medieval author in France in the 17th Century,"Produce a list of mss owned in France in the 17th century, sorted by ""work""","original SPARQL Friday question; ""popularity"" can't be determined with our data",http://yasgui.org/short/AGHuMuiUy,"Currently impossible. This is a complex question anyway.
One cannot search by date span or by place.",,"Not possible. You can't even sort the list of ""works"" by the number of times they occur in Oxford manuscripts.",,Difficult to answer since source date is not searchable in a date range,,"The closest approximation is probably as follows. (1) In the ""Manuscripts"" perspective, limit the ""Transfer of Custody date"" to 17th century. This produces 373 results. (2) Then limit the ""Transfer of Custody place"" to France. This produces 30 results. (3) Then sort by Author or Work. Five medieval authors are represented, each with one Work. (Toby)","(A) This does not cover the full range of ownership Events. (B) The ""Events"" view can be filtered by date range (17th century) and by place (France), but the result is a list of manuscripts, not of works or authors.  COULD WE ADD WORKS/AUTHORS TO THE EVENTS VIEW? (C) The ""Works"" view cannot be filtered by Place or Event (only by language or production date)."
C2,[C2] Did Sir Thomas Phillipps own a thirteenth-century bible with historiated initials?, Show manuscripts owned by/associated with X Actor [cf F5]; then show me manifestations containing Work X; limit manifestations to X Date; further refine by finding those with historiated initials,"sparql; good for documenting limitations of MMM data (SDBM can answer this question, Bibale maybe not)",,"A query for ""Phillipps"" and filter on Collections, shows us the file of Phillipps library. At the moment there are some 500 manuscripts described. In the list, however, we only see shelfmarks, so we will have to open them one by one to see if there is a 13th-century bible among them. Alternatively, we can do a general query on the word ""bible"" and filter only the field ""Contenu indicatif (auteur, titre)"" and only on the object ""Livre (Exemplaire"". This gives a list of about 140 manuscripts. In this list of shelfmarks we will have to open them one by one to see if there is a 13th-century bible among them.",,"(1) You can easily identify all manuscripts formerly owned by Phillipps by selecting his name from the list of Persons. But the resulting list of manuscripts cannot be filtered or analysed in any way - except by inspecting each entry individually. (2) An Advanced Search for ""Phillipps"" can be filtered for century of origin and presence or absence of decoration. But it cannot be refined by title/contents/works.",,Yes: there are 3 entries that describe 13th century bibles that contain historiated initials with Phillipps as a provenance agent.,,"In ""Manuscripts"" perspective: (1) Filter for ""Phillipps"" in Owner - result is 8,752 manuscripts. Then (2) search in ""Work"" filter for ""bible"" - result is 130 manuscripts. Then (3) search in ""Historiated Initials"" filter for ""minimum = 1"". The combined result is 10 manuscripts. Sorting on the ""Historiated Initials"" column shows a range from 1 to 150 initials. (Toby)","If you search in the ""Work"" filter for ""biblia"" instead, this produces 1 additional manuscript with historiated initials."
F1,[F1] Combien de manuscrits enluminés se trouvent dans une collection particulière ? (volumétrie),List / count the manifestation singletons which are associated with Collection A (or with Person X as owner). Limit the result set to those with a specific physical feature B.,SPARQL query; interface testing,,There is no simple way to search this. But any collection present in Bibale can be opened and will include a list of associated books. The files of these books should then be opened one by one to see if they are illuminated or not. ,"I would like to remind that one of the problems of the Bibale data in the MMM UI is that the degrees of certainty are not visible. So if a certain collection in Bibale is associated to two manuscripts it contains, one it mMAY contain, and one it NOT contains, this collection will appear in the MMM UI as if (as far as the Bibale data are concerned) it contains four manuscripts...","An Advanced Search for ""Phillipps"" can be filtered for presence or absence of decoration in the resulting list of manuscripts.","The Oxford catalogue only covers manuscripts now in Oxford collections. It does not cover the whole of a former owner's collection, unless the whole of that collection was acquired by the Bodleian.","You can easily limit results to entries owned by a particular person/institution, and then further limit by any number of physical characteristics.",,"In the ""Manuscripts"" perspective: select a specific owner in the""Owner"" filter. Then combine this with a selection of ""minimum = 1"" in one or all of the filters for ""Miniatures"", ""Decorated Initials"", or ""Historiated initials"". For Thomas Phillipps as owner, there are 555 manuscripts with at least one decorated initial, 198 with at least one historiated initial, and none with miniatures. There are 14 with both types of initials. (Toby)","You can also filter on ""Collection"" instead of ""Owner"". For the Phillipps Catalogus, this produces results of 413 with decorated initials, 141 with historiated initials, and 10 with both types of initials."
F3,[F3] Qui sont les donateurs et les propriétaires d’une collection ?,"List the Actors who/which are associated with a specific Collection A, and also list their relationship to Collection A.","first half of question: SPARQL query; interface testing. Listing relationships to other collections is difficult with our data. We can show connections to other collections, but not specific types of relationships in detail (?) ",,"Any collection present in Bibale can be opened and will include a list of associated books, as well as associations to donators, though one should also look in the file of the person to look for assoctiations with donators. The collection will also show links to one or several owners.",,"The Oxford catalogue can be filtered to see a list of former owners and/or donors across the whole of the modern Oxford collection. But there is no way of filtering for former owner against specific sub-collections (e.g., colleges, named Bodleian collections). ",,"SDBM doesn't include donor relationships (though a general chain of ownership can be established within entries, showing a direct transfer of custody from one provenance agent to the next). Some entries may state explicitly that someone donated the manuscript to another collection, but this information isn't searchable. In most cases, the best you can do is show a generic association between two provenance agents.",,"In the ""Manuscripts"" perspective, select one (or more) of the Collections in the ""Collections"" filter. Then look at the list of owners displayed in the ""Owners"" filter. This shows the number of MSS in that collection which were also associated with specific owners. This information can also be visualized using the ""Chart"" functionality. (Toby)",
